user_539.txt	0.22053,-0.0951184,0.114602,0.682813,-0.330019,0.24028,-0.313312,-0.254536,-0.325278,-0.165968
like_853	0.0514983,0.1626,-0.514463,-0.430732,0.430999,-0.397573,-0.120239,0.086218,0.386246,-0.0761937
user_495.txt	-0.0776009,-0.198206,-0.14959,-0.196614,0.197754,-0.686469,-0.432542,-0.22158,-0.129166,0.361162
user_654.txt	-0.601052,-0.444312,0.156464,0.455484,-0.203513,0.141858,0.0947791,-0.332438,0.160482,-0.0508124
neutral_1027	-0.295762,-0.303873,-0.0779557,-0.558944,0.376946,-0.199972,0.108936,-0.203871,0.496649,0.139725
user_141.txt	0.0472855,-0.225858,-0.0310653,-0.104754,0.197683,0.169838,0.447507,-0.550634,-0.115572,0.591669
neutral_608	0.213333,0.318083,0.0741777,-0.156859,0.275549,0.0651659,-0.573097,0.534029,-0.124118,-0.337638
user_678.txt	0.104078,-0.240694,-0.14233,-0.221842,-0.192356,0.448979,-0.3715,-0.671635,0.15739,0.0964444
like_1202	-0.0048231,0.836006,-0.258582,0.0488443,0.135298,0.102097,0.106258,0.252241,-0.323264,0.153865
user_171.txt	0.564749,-0.123482,0.350604,0.27824,-0.345507,0.110827,-0.425019,-0.287119,-0.145487,-0.222638
user_161.txt	0.497517,-0.39679,-0.226954,-0.0528603,-0.324918,0.45206,0.210019,-0.401334,-0.0363129,-0.155907
dislike_1161	0.307183,0.0531338,-0.242068,-0.569676,-0.442589,0.269821,0.40152,-0.00502285,0.113182,-0.277389
user_489.txt	0.238265,0.0616254,0.13986,-0.0844657,0.120287,-0.517602,-0.499883,-0.487004,0.00733387,0.378479
neutral_1501	0.318952,0.530863,-0.24087,0.158991,0.0764391,0.240422,0.266629,0.336819,0.146863,-0.51323
dislike_726	0.0314861,0.0904166,-0.566251,-0.288976,-0.532155,-0.222732,-0.165324,0.228445,-0.255154,-0.330553
dislike_727	0.37057,-0.0451982,-0.765463,-0.0764819,-0.0594712,-0.0904715,0.312616,0.214205,-0.225342,-0.250475
like_529	0.290357,0.247752,-0.501569,0.358432,0.291151,0.0860473,-0.379758,0.233466,-0.416811,-0.0981794
like_528	0.0295303,-0.260032,0.0565953,0.234856,0.278681,0.0859424,-0.720787,0.312743,-0.0514424,-0.410017
dislike_1047	-0.520722,0.0116086,-0.0164678,-0.0206354,0.0396235,0.399919,0.717619,0.202426,-0.085197,0.0574483
dislike_1046	-0.0775167,-0.00876041,-0.114963,-0.375273,-0.623528,-0.453415,-0.241332,0.0104344,0.180222,-0.393276
dislike_720	0.0522865,-0.0727257,-0.117223,-0.359115,-0.444183,-0.479819,0.291156,0.339929,0.098314,-0.460172
dislike_721	-0.312647,0.239462,-0.234463,0.303456,0.0664209,-0.224396,0.539805,0.52273,-0.196799,-0.199298
like_523	0.0438456,-0.425383,0.101791,0.210495,0.301478,-0.0768885,-0.715472,0.242752,-0.200794,-0.233472
like_522	0.191163,-0.182847,-0.558693,0.291833,0.446948,-0.127944,-0.324876,-0.0105799,0.296343,-0.350873
like_521	-0.0437636,-0.0118773,-0.180522,0.253649,0.154106,0.185296,-0.775925,0.255776,-0.0721666,-0.412608
like_520	-0.0517639,-0.465832,0.443123,-0.0710568,0.151735,0.0470288,-0.591497,0.271755,-0.355485,-0.0599131
like_527	-0.113968,-0.46072,-0.00366201,0.229741,0.290611,-0.0159408,-0.685439,0.254733,-0.233717,-0.218876
like_526	0.0766508,-0.516493,0.277257,-0.134816,0.165613,-0.113059,-0.562323,0.351979,-0.365696,-0.135181
like_525	0.0945573,-0.11069,-0.36734,-0.0376871,0.382542,0.113361,-0.781593,0.10117,-0.247999,-0.0251325
like_524	0.245215,-0.265664,-0.278385,0.360434,0.269087,-0.322858,-0.621638,0.0663646,-0.277957,-0.130913
